"Part";"Value";"Device";"Package";"Description";"MANUFACTURER_PART_NUMBER";"PROD_ID";"SF_ID";"VALUE";"VENDOR";
"ANT1";"PROOB512";"PRO-OB-512ONBOARD";"ONBOARD_SMD_2400";"Proant OnBoard Antenna PRO-OB-512 for 848/2400MHz comms (e.g. SigFox)";"";"";"";"";"";
"C1";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"CAP-08604";"";"0.1uF";"";
"C2";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"CAP-08604";"";"0.1uF";"";
"C3";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"CAP-08604";"";"0.1uF";"";
"C4";"0.6pF";"0.8PF-0402-50V-0.1PF";"0402";"0.8pF ceramic capacitors";"";"CAP-13456";"";"0.8pF";"";
"C5";"2.2pF";"0.8PF-0402-50V-0.1PF";"0402";"0.8pF ceramic capacitors";"";"CAP-13456";"";"0.8pF";"";
"C6";"0.7pF";"0.8PF-0402-50V-0.1PF";"0402";"0.8pF ceramic capacitors";"";"CAP-13456";"";"0.8pF";"";
"C7";" 0 OHM";"RESISTOR0402";"0402";"Generic Resistor Package";"";" ";"";" ";"";
"C9";"10nF";"10NF-0603-50V-10%";"0603";"0.01uF/10nF/10,000pF ceramic capacitors";"";"CAP-00867";"";"10nF";"";
"C10";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"0.1uF";"";
"C11";"0.1uF";"0.1UF-0603-25V-5%";"0603";"0.1µF ceramic capacitors";"";"CAP-08604";"";"0.1uF";"";
"C12";"100pF";"100PF-0603-50V-5%";"0603";"100pF/0.1nF ceramic capacitors";"";"CAP-07883";"";"100pF";"";
"C13";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"0.1µF ceramic capacitors";"";"CAP-00810";"";"0.1uF";"";
"C15";"10uF";"10UF-0603-6.3V-20%";"0603";"10.0µF ceramic capacitors";"";"CAP-11015";"";"10uF";"";
"D1";"RED";"LED-RED0603";"LED-0603";"Red SMD LED";"";"DIO-00819";"";"RED";"";
"HALL1";"AH9246-W7";"AH9246-W7";"SC-59";"Hall effect switch, surface mount, part number AH9246-W-7";"";"";"";"";"";
"J1";"FTDI Basic";"6_PIN_SERIAL_TARGET";"1X06";"6-pin header connection for use with the "FTDI BASIC" pinout - TARGET SIDE.";"";"";"";"";"";
"J2";"";"CONN_12";"1X12";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"J3";"";"CONN_03";"1X03";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";
"R1";"330";"330OHM-0603-1/10W-1%";"0603";"330Ω resistor";"";"RES-00818";"";"330";"";
"R2";"PHOTOCELLPTH";"PHOTOCELLPTH";"PHOTOCELL";"Photocell (Photodetector, Photo Resistor, CdS)";"";"COMP-09129";"SEN-09088";"";"";
"R3";"1k";"1KOHM-0603-1/10W-1%";"0603";"1kΩ resistor";"";"RES-07856";"";"1k";"";
"R4";"4.7k";"4.7KOHM-0603-1/10W-1%";"0603";"4.7kΩ resistor";"";"RES-07857";"";"4.7k";"";
"R5";"100k";"100KOHM-0603-1/10W-1%";"0603";"100kΩ resistor";"";"RES-07828";"";"100k";"";
"R6";"10k";"10KOHM-0603-1/10W-1%";"0603";"10kΩ resistor";"";"RES-00824";"";"10k";"";
"SFM1";"";"WSSFM10'HANDSOLDER'";"WSSFM10";"WiSOL WSSFM10 Sigfox Module with PCB Footprint to enable handsolder";"";"";"";"";"";
"U1";"ATMEGA328P_TQFP";"ATMEGA328P_TQFP";"TQFP32-08";"Popular 328P in QFP";"";"IC-09069";"";"ATMEGA328P_TQFP";"";
"U2";"DS18B20U+";"DS18B20U+";"21-0036K";"";"DS18B20U+";"";"";"";"Maxim Integrated Products";
"U3";"LIS3DH";"LIS3DH";"LGA-16-3X3";"ST Microelectronics LIS3DH 3-Axis +/-2/4/8/16g SPI/I2C Accelerometer";"";"IC-13419";"N/A";"";"";
"Y1";"8MHz";"RESONATOR-8MHZSMD_3.2X1.3";"RESONATOR-SMD-3.2X1.3";"8MHz Resonator";"";"XTAL-08895";"";"8MHz";"";
